date,code,action,price,shares,value,cost,hold_days
2021-08-09,000002,buy,3539.18,10.14152173325918,35892.670887916225,35.892670887916225,0
2021-08-09,601001,buy,17.7,2027.8345134415947,35892.670887916225,35.892670887916225,0
2021-08-09,601898,buy,8.48,4232.626283952385,35892.670887916225,35.892670887916225,0
2021-08-10,601001,sell,17.72,2027.8345134415947,35933.227578185055,35.933227578185054,1
2021-08-11,601898,sell,8.49,4232.626283952385,35934.99715075575,35.93499715075575,2
2021-08-11,000001,buy,3417.7700000000004,30.45233565937106,104079.07924652864,104.07907924652864,0
2021-08-13,601001,buy,21.08,2221.5551094390685,46830.38170697556,46.83038170697556,0
2021-08-13,601898,buy,8.75,5352.04362365435,46830.38170697556,46.83038170697556,0
2021-08-17,601001,sell,20.16,2221.5551094390685,44786.55100629162,44.786551006291624,4
2021-08-20,000001,sell,3414.52,30.45233565937106,103980.10915563567,103.98010915563567,9
2021-08-23,000983,buy,73.02,1357.8075917062606,99147.11034639114,99.14711034639114,0
2021-08-24,601001,buy,19.28,4627.722230327665,89222.48460071739,89.2224846007174,0
2021-08-25,601001,sell,18.82,4627.722230327665,87093.73237476665,87.09373237476666,1
2021-08-27,601001,buy,20.32,4379.526464390982,88991.97775642476,88.99197775642476,0
2021-08-30,000002,sell,3571.91,10.14152173325918,36224.6028942458,36.2246028942458,21
2021-08-31,000983,sell,79.84,1357.8075917062606,108407.35812182786,108.40735812182785,8
2021-08-31,601001,sell,22.579999999999995,4379.526464390982,98889.70756594835,98.88970756594836,4
2021-09-01,601898,sell,10.189999999999998,5352.04362365435,54537.32452503782,54.53732452503782,19
2021-09-02,000002,buy,3696.27,7.430461938278449,27464.993548600483,27.464993548600482,0
2021-09-02,000983,buy,87.49,313.9215173002684,27464.993548600483,27.464993548600482,0
2021-09-02,601001,buy,24.8,1107.4594172822776,27464.993548600487,27.46499354860049,0
2021-09-02,601898,buy,9.63,2852.0242521911196,27464.993548600483,27.464993548600482,0
2021-09-03,000983,sell,90.35,313.9215173002684,28362.80908807925,28.362809088079253,1
2021-09-03,000001,buy,3175.61,32.0242206711282,101696.43540544141,101.69643540544142,0
