date,actual,predicted,pred_return,signal,position,cash,total,returns
2022-02-21,117.33754589422745,119.87900656970488,0.006073662453594197,-1,0.0,1000000,1000000.0,0.0
2022-02-22,115.4653356635343,120.2503271566496,0.0030974613284671104,-1,0.0,1000000,1000000.0,0.0
2022-02-23,115.19793582834411,120.16420359945474,-0.0007162022693100178,-1,0.0,1000000,1000000.0,0.0
2022-02-24,113.325725597651,119.68956487456676,-0.003949917784751511,-1,0.0,1000000,1000000.0,0.0
2022-02-25,113.25908133103437,119.14405876547272,-0.004557674761920261,-1,0.0,1000000,1000000.0,0.0
2022-02-28,112.25612625689024,117.36693054889288,-0.014915793829703206,-1,0.0,1000000,1000000.0,0.0
2022-03-01,113.39278124862945,115.71630101486338,-0.014063838308712384,-1,0.0,1000000,1000000.0,0.0
2022-03-02,111.78797085312652,115.80223374435133,0.0007426155929137757,-1,0.0,1000000,1000000.0,0.0
2022-03-03,111.98872642170006,115.3062323598536,-0.0042831763124079325,-1,0.0,1000000,1000000.0,0.0
2022-03-04,109.44760521866964,114.73929328620518,-0.004916812058164188,-1,0.0,1000000,1000000.0,0.0
2022-03-07,105.36914065547656,114.11914341302108,-0.005404860492187358,-1,0.0,1000000,1000000.0,0.0
2022-03-08,102.62808665259624,112.16547948042796,-0.01711951101422482,-1,0.0,1000000,1000000.0,0.0
2022-03-09,99.48552151256884,108.97987204631632,-0.028400961230389155,-1,0.0,1000000,1000000.0,0.0
2022-03-10,104.36618558133246,106.42111354225749,-0.02347918433021612,-1,0.0,1000000,1000000.0,0.0
2022-03-11,106.57285129819424,106.93348593529488,0.004814574626997636,-1,0.0,1000000,1000000.0,0.0
2022-03-14,103.83138591095208,107.37306257993012,0.004110748291711319,-1,0.0,1000000,1000000.0,0.0
2022-03-15,98.41551078744624,107.18165234634183,-0.0017826653071928433,-1,0.0,1000000,1000000.0,0.0
2022-03-16,102.62808665259624,105.68071208303328,-0.014003705209343908,-1,0.0,1000000,1000000.0,0.0
2022-03-17,103.5639860757619,104.44243109293288,-0.011717190068964434,-1,0.0,1000000,1000000.0,0.0
2022-03-18,105.23544073788148,105.2065454056308,0.007316129131636373,-1,0.0,1000000,1000000.0,0.0
2022-03-21,104.49988549892754,105.97309026070086,0.007286094720766467,-1,0.0,1000000,1000000.0,0.0
2022-03-22,108.44506152888736,106.37070489694426,0.003752033985847225,-1,0.0,1000000,1000000.0,0.0
2022-03-23,107.24135088616973,108.30409087478796,0.018175925220358602,-1,0.0,1000000,1000000.0,0.0
2022-03-24,108.57876144648246,109.54325569847823,0.011441532943782251,-1,0.0,1000000,1000000.0,0.0
2022-03-25,107.10765096857462,110.68124166325526,0.010388462142383093,-1,0.0,1000000,1000000.0,0.0
2022-03-28,106.2383958120256,110.9190531603118,0.0021486160932318032,-1,0.0,1000000,1000000.0,0.0
2022-03-29,105.10174082028638,110.43337655911397,-0.004378658015552039,-1,0.0,1000000,1000000.0,0.0
2022-03-30,108.64540571309908,109.9125173549011,-0.004716501663191042,-1,0.0,1000000,1000000.0,0.0
2022-03-31,109.78206070483829,110.40849865227176,0.004512509669569065,-1,0.0,1000000,1000000.0,0.0
2022-04-01,112.25612625689024,111.5000030050724,0.009886053756045454,-1,0.0,1000000,1000000.0,0.0
2022-04-06,116.53493500429504,113.55608115489188,0.01844016228166323,-1,0.0,1000000,1000000.0,0.0
2022-04-07,115.79979114970295,117.18248050482482,0.03193487581687937,1,8635.594158431823,999000,1999000.0,0.9990000000000001
2022-04-08,116.60199065527353,118.61309573635748,0.012208439566815166,-1,0.0,998001,998001.0,-0.5007498749374688
2022-04-11,114.26162502081664,118.79685277454256,0.0015492137444377274,-1,0.0,1000000,1000000.0,0.0020030040050060816
2022-04-12,113.39278124862945,118.46411955864652,-0.0028008588453729555,-1,0.0,1000000,1000000.0,0.0
2022-04-13,112.59017035869708,117.81102679711267,-0.005513000594332018,-1,0.0,1000000,1000000.0,0.0
2022-04-14,114.1949807542,116.9019738192394,-0.007716196035187695,-1,0.0,1000000,1000000.0,0.0
2022-04-15,116.7356905728686,117.52268613198066,0.00530968205636162,-1,0.0,1000000,1000000.0,0.0
2022-04-18,113.25908133103437,118.35182247491524,0.007055117358391927,-1,0.0,1000000,1000000.0,0.0
2022-04-19,112.65722600967553,117.8237419485306,-0.004461955171806253,-1,0.0,1000000,1000000.0,0.0
2022-04-20,112.9246258448657,116.555380485684,-0.010764905628278698,-1,0.0,1000000,1000000.0,0.0
2022-04-21,112.65722600967553,115.78812253760394,-0.006582775886303183,-1,0.0,1000000,1000000.0,0.0
2022-04-22,114.3286806717951,114.9029531537842,-0.007644733884792587,-1,0.0,1000000,1000000.0,0.0
2022-04-25,106.2383958120256,115.159536071062,0.002233040232955563,-1,0.0,1000000,1000000.0,0.0
2022-04-26,105.43619630645505,113.5408852432842,-0.014055725500482952,-1,0.0,1000000,1000000.0,0.0
2022-04-27,111.58721528455295,109.89725113834876,-0.032090943250338455,-1,0.0,1000000,1000000.0,0.0
2022-04-28,111.58721528455295,110.47825120092696,0.0052867570076595705,-1,0.0,1000000,1000000.0,0.0
2022-04-29,109.38096095205302,111.88579636705126,0.012740472905969469,-1,0.0,1000000,1000000.0,0.0
2022-05-05,109.38096095205302,112.85237887677438,0.008639009964698019,-1,0.0,1000000,1000000.0,0.0
2022-05-06,106.97395105097952,111.95664366413028,-0.007937229339420204,-1,0.0,1000000,1000000.0,0.0
