date,total
2021-03-22,1336586.4740000009
2021-03-23,1360505.4740000009
2021-03-24,1269046.9340000008
2021-03-25,1270221.9140000008
2021-03-26,1283980.9140000008
2021-03-29,1313987.9140000008
2021-03-30,1325378.9140000008
2021-03-31,1318484.9140000008
2021-04-01,1315434.9140000008
2021-04-02,1328772.9140000008
2021-04-06,1354563.9140000008
2021-04-07,1357259.9140000008
2021-04-08,1368575.2620000008
2021-04-09,1347336.9640000009
2021-04-12,1335263.9640000009
2021-04-13,1299584.9640000009
2021-04-14,1289994.9640000009
2021-04-15,1319942.9640000009
2021-04-16,1346097.9640000009
2021-04-19,1345177.9640000009
2021-04-20,1355994.9640000009
2021-04-21,1343756.9640000009
2021-04-22,1351857.9640000009
2021-04-23,1347138.9640000009
2021-04-26,1361497.9640000009
2021-04-27,1358078.9640000009
2021-04-28,1348502.9640000009
2021-04-29,1347146.9640000009
2021-04-30,1348023.9640000009
2021-05-06,1362469.9640000009
2021-05-07,1364815.9640000009
2021-05-10,1376285.9640000009
2021-05-11,1343047.9640000009
2021-05-12,1338915.9640000009
2021-05-13,1328335.9640000009
2021-05-14,1329116.9640000009
2021-05-17,1350105.9640000009
2021-05-18,1358739.9640000009
2021-05-19,1356573.9640000009
2021-05-20,1324843.9640000009
2021-05-21,1316400.9640000009
2021-05-24,1303516.9640000009
2021-05-25,1311138.9640000009
2021-05-26,1329818.9640000009
2021-05-27,1344177.9640000009
2021-05-28,1359290.9640000009
2021-05-31,1350937.9640000009
2021-06-01,1339909.9640000009
2021-06-02,1362175.9640000009
2021-06-03,1337321.9640000009
2021-06-04,1323014.9640000009
2021-06-07,1330023.9640000009
2021-06-08,1357664.9640000009
2021-06-09,1357625.9640000009
2021-06-10,1351621.9640000009
2021-06-11,1359094.9640000009
2021-06-15,1338788.9640000009
2021-06-16,1302284.9640000009
2021-06-17,1274530.9640000009
2021-06-18,1268845.9640000009
2021-06-21,1268042.9640000009
2021-06-22,1282366.9640000009
2021-06-23,1291305.9640000009
2021-06-24,1300243.9640000009
2021-06-25,1286887.9640000009
2021-06-28,1305215.9640000009
2021-06-29,1322141.9640000009
2021-06-30,1287412.9640000009
2021-07-01,1290784.9640000009
2021-07-02,1279956.9640000009
2021-07-05,1257260.9640000009
2021-07-06,1283302.9640000009
2021-07-07,1265992.9640000009
2021-07-08,1303086.9640000009
2021-07-09,1277465.9640000009
